title,date_of_release,director
Cinderella                                                                      ,3/13/2015,Kenneth Branagh               
Fast & Furious 8                                                                ,4/4/2017,F Gary Gray                   
Jumanji                                                                         ,12/15/1995,Joe Johnstone                 
Kong : Skull Island                                                             ,3/10/2017,Jordan Vogt-Roberts           
Spider Man                                                                      ,5/3/2002,Sam Raimi                     
The Lego Batman                                                                 ,2/10/2017,Chris Mckay                   
The Wolverine                                                                   ,7/21/2013,James Mangold                 
Thor:Ragnarok                                                                   ,5/6/2011,Kenneth Branagh               
Wonder Woman                                                                    ,6/2/2017,Patty Jenkins                 
