Industry,Skill Set,Skill,Skill Type,,,,
Education,Programming/Technical,PR,Python,,,,
Education,Programming/Technical,PR,C,,,,
Education,Programming/Technical,PR,C++,,,,
Education,Business,BU,MS Office,,,,
Education,Programming/Technical,PR,ASP,,,,
Education,Programming/Technical,PR,Java,,,,
Education,Business,BU,Business Analysis,,,,
Healthcare,Business,BU,Healthcare Analytics,,,,
Healthcare,Programming/Technical,PR,Git,,,,
Healthcare,Programming/Technical,PR,Problem Solving Skills,,,,
Healthcare,Business,BU,Management,,,,
Healthcare,Programming/Technical,PR,Database Management,,,,
Healthcare,Business,BU,Hospital or managed care environment,,,,
Healthcare,Programming/Technical,PR,Big Data,,,,
Healthcare,Programming/Technical,PR,Data Mining ,,,,
Healthcare,Programming/Technical,PR,Python,,,,
Healthcare,Programming/Technical,PR,Building Machine Learning Model,,,,
Healthcare,Programming/Technical,PR,R,,,,
Healthcare,Programming/Technical,PR,Predictive Anaytics,,,,
Healthcare,Programming/Technical,PR,Python,,,,
Healthcare,Programming/Technical,PR,SQL,,,,
Healthcare,Analysis/Research,AN,Visualization,,,,
Healthcare,Soft Skill ,SS,Written communication and oral presentation skills,,,,
Healthcare,Soft Skill,SS,Relationship and organizational skills,,,,
Healthcare,Soft Skill,SS,Attention to detail ,,,,
Healthcare,Soft Skill,SS,Ability to think creatively and strategically,,,,
Healthcare,Programming/Technical,PR,Command line scripting,,,,
Healthcare,Programming/Technical,PR,R,,,,
Healthcare,Programming/Technical,PR,SAS,,,,
Healthcare,Mathematics,MAT,Statistics,,,,
Healthcare,Programming/Technical,PR,Python,,,,
Healthcare,Programming/Technical,PR,Build Machine Learning Models,,,,
Healthcare,Programming/Technical,PR,Java,,,,
Healthcare,Mathematics,MAT,Mathlab,,,,
Healthcare,Programming/Technical,PR,C++,,,,
Healthcare,Programming/Technical,PR,C++,,,,
Healthcare,Programming/Technical,PR,R,,,,
Healthcare,Programming/Technical,PR,Java,,,,
Healthcare,Programming/Technical,PR,C++,,,,
Cyber Secuirty,Programming/Technical,PR,Python,,,,
Cyber Secuirty,Programming/Technical,PR,R,,,,
Cyber Secuirty,Programming/Technical,PR,SQL,,,,
Cyber Secuirty,Programming/Technical,PR,SPARKML,,,,
Cyber Secuirty,Programming/Technical,PR,sckit,,,,
Cyber Secuirty,Programming/Technical,PR,caret,,,,
Cyber Secuirty,Business,BU,mlr,,,,
Cyber Secuirty,Programming/Technical,PR,mlib,,,,
Cyber Secuirty,Programming/Technical,PR,Data Mining ,,,,
Cyber Secuirty,Soft Skill,SS,Problem Solving Skills,,,,
Cyber Secuirty,Business,BU,Automating IT tasks,,,,
Cyber Secuirty,Programming/Technical,PR,Anti-DDOS,,,,
Cyber Secuirty,Programming/Technical,PR,SIEM,,,,
Cyber Secuirty,Programming/Technical,PR,AWS,,,,
Cyber Secuirty,Programming/Technical,PR,Postgres,,,,
Cyber Secuirty,Programming/Technical,PR,D3,,,,
Cyber Secuirty,Programming/Technical,PR,Scala,,,,
Cyber Secuirty,Soft Skill,SS,Good Communication,,,,
Cyber Secuirty,Business,BU,Management,,,,
Cyber Secuirty,Programming/Technical,PR,Java,,,,
Cyber Secuirty,Soft Skill,SS,Team Player,,,,
Cyber Secuirty,Mathematics,MAT,Mathlab,,,,
Cyber Secuirty,Programming/Technical,PR,Pandas,,,,
Cyber Secuirty,Programming/Technical,PR,Scipy,,,,
Cyber Secuirty,Soft Skill,SS,Motivated,,,,
Cyber Secuirty,Programming/Technical,PR,Build Machine Learning Models,,,,
Cyber Secuirty,Programming/Technical,PR,Cyrptography,,,,
Cyber Secuirty,Programming/Technical,PR,Powershell,,,,
Cyber Secuirty,Programming/Technical,PR,Scikit,,,,
Cyber Secuirty,Analysis/Research,AN,ETL Techniques,,,,
Cyber Secuirty,Soft Skill,SS,Meeting deadlines,,,,
Cyber Secuirty,Soft Skill,SS,Good communication,,,,
Cyber Secuirty,Programming/Technical,PR,Attention to Detail,,,,
Cyber Secuirty,Programming/Technical,PR,SQL,,,,
Cyber Secuirty,Programming/Technical,PR,Python,,,,
Cyber Secuirty,Business,BU,Reporting,,,,
Cyber Secuirty,Programming/Technical,PR,Software Development,,,,
Cyber Secuirty,Analysis/Research,AN,Statistical Analysis,,,,
Cyber Secuirty,Soft Skill,SS,consulting,,,,
Cyber Secuirty,Business,BU,Understanding of cloud computing concepts,,,,
Cyber Secuirty,Business,BU,Information Assurance Concepts,,,,
Cyber Secuirty,Business,BU,Knowledge of Federal Security regulations,,,,
Cyber Secuirty,Programming/Technical,PR,Apache Kafka,,,,
Cyber Secuirty,Programming/Technical,PR,StealthWatch,,,,
Cyber Secuirty,Programming/Technical,PR,Splunk,,,,
